date,description,net_amount,vat_amount,category
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,7532416.06,0.0,Cap Grt Loc Auth
27/03/2025,CRSTS Revenue,7274000.0,0.0,CurrGrt Las in AEF/A
28/03/2025,2601 Wk4 NRC_PCP Infrastructure Charges_P2601 - AR,7260604.24,0.0,TOCOpCosts(Pub)
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,7222600.94,0.0,Cap Grt Loc Auth
14/03/2025,Feasibility,7128814.42,0.0,TA Cost AUC - Programme
27/03/2025,CRSTS Revenue,7123000.0,0.0,CurrGrt Las in AEF/A
27/03/2025,2513 Wk3 CP7 Access Charges wash-up (P2501-12) - W,7027697.4,0.0,Pte Cost Of Servs Ch
27/03/2025,CRSTS Revenue,7009000.0,0.0,CurrGrt Las in AEF/A
05/03/2025,MRN/LLM  Capital Grants 2024/25,7000000.0,0.0,Cap Grt Loc Auth
27/03/2025,CRSTS Revenue,6952000.0,0.0,CurrGrt Las in AEF/A
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,6946902.0,0.0,Cap Grt Loc Auth
27/03/2025,CRSTS Revenue,6915000.0,0.0,CurrGrt Las in AEF/A
07/03/2025,Project Oval to TFL Grant Phase 2B 47 Stations,6885438.0,0.0,Cap Grt Pri Sec-Cos.
04/03/2025,SR 9001237800,6876486.75,0.0,Eurotunnel Admin Pay
07/03/2025,"Contract for the purchase of Plant, Equipment and Services.",6874496.01,0.0,AUC - Phase 1
25/03/2025,Hampshire County Council -  LEVI C Fund 24-25 100%,6662000.0,0.0,Cap Grt Loc Auth
04/03/2025,SR 9001236073,6647975.0,0.0,Grt Aid to NDPBs
27/03/2025,CRSTS Revenue,6621000.0,0.0,CurrGrt Las in AEF/A
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,6502753.72,0.0,Cap Grt Loc Auth
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,6289264.09,0.0,Cap Grt Loc Auth
20/03/2025,Northumberland CC February 2025 invoice,6224458.62,0.0,Cap Grt Pri Sec-Cos.
04/03/2025,SR 9001237795,6150326.02,0.0,Eurotunnel Admin Pay
12/03/2025,MRN/LLM  Capital Grants 2024/25,6122000.0,0.0,Cap Grt Loc Auth
13/03/2025,SR 9001240939 - DFT TO THE GLF AND ULTIMATELY NLB,5900000.0,0.0,Support Services
11/03/2025,RIS 2 Schemes,5726785.06,0.0,TA Cost AUC - Programme
04/03/2025,SR 9001237798,5631878.72,0.0,Eurotunnel Admin Pay
27/03/2025,Cornwall Council -  LEVI C Fund 24-25 100%,5509000.0,0.0,Cap Grt Loc Auth
28/03/2025,2601 Wk4 NRC_PCP Other Operating Cost_P2601 - ARRI,5460390.58,0.0,TOCOpCosts(Pub)
20/03/2025,Cambridgeshire and P -  LEVI C Fund 24-25 100%,5437000.0,0.0,Cap Grt Loc Auth
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,5420397.0,0.0,Cap Grt Loc Auth
14/03/2025,RIS 2 Schemes,5340222.55,0.0,TA Cost AUC - Programme
12/03/2025,MRN/LLM  Capital Grants 2024/25,5332733.0,0.0,Cap Grt Loc Auth
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,5293206.58,0.0,Cap Grt Loc Auth
05/03/2025,MRN/LLM  Capital Grants 2024/25,5229738.0,0.0,Cap Grt Loc Auth
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,5040365.14,0.0,Cap Grt Loc Auth
25/03/2025,Operate Roads PFI Service Payments,5033974.11,0.0,PFI Service Payments
21/03/2025,Renewals of Roads,4904344.5,0.0,TA Renewal of Roads - Capital
05/03/2025,Bus Transformation Fund (RDEL) Essex,4890976.0,0.0,CurrGrt Las in AEF/A
28/03/2025,Hammersmith Bridge Hanger Repairs,4700000.0,0.0,Cap Grt Loc Auth
28/03/2025,2601 Wk4 SWR_NRC_FIXED FEE_23-24 - First MTR South,4699999.98,0.0,TOCPerfMgmtFee(Pub)
24/03/2025,Task Order 018 AfP No. 22 to 23022025,4557995.05,0.0,Technical Partner: Non staffing
20/03/2025,Draw Down Q4,4500000.0,0.0,CurrGrtOth to NDPBs
19/03/2025,Slab Track Agreement,4422615.58,0.0,AUC - Phase 1
27/03/2025,Nexus P11 February 2025 New Fleet,4401687.81,0.0,Cap Grt Loc Auth
28/03/2025,RATES & BID 2025/26,4320810.06,0.0,RATES
18/03/2025,RIS 1 Schemes,4243635.95,0.0,TA Cost AUC - Programme
27/03/2025,Growth and Housing,4235178.52,0.0,TA Cost AUC - Programme
31/03/2025,Routine Maintenance,4230444.95,0.0,RM - Electricity costs
28/03/2025,2601 Wk4 NRC_PCP Traction Electricity & Diesel Cos,4208275.81,0.0,TOCOpCosts(Pub)
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,4086514.35,0.0,Cap Grt Loc Auth
20/03/2025,EEW Construction Contract - 2EE02,4073014.27,0.0,Business Services
28/03/2025,2601 Wk4 GWR_NRC_PCPJCOST_P2512 - FIRST GREATER WE,3992807.97,0.0,TOCOpCosts(Pub)
26/03/2025,Wiltshire Council -  LEVI C Fund 24-25 100%,3889000.0,0.0,Cap Grt Loc Auth
28/03/2025,2601 Wk4 GTR_NRC_PCPJOpex - GOVIA THAMESLINK RAILW,3863789.73,0.0,TOCOpCosts(Pub)
12/03/2025,MRN/LLM  Capital Grants 2024/25,3836000.0,0.0,Cap Grt Loc Auth
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,3829227.24,0.0,Cap Grt Loc Auth
28/03/2025,2601 Wk4 XC_NRC_PCPJ Rev_P2512 - ARRIVA TRAINS CRO,3824125.05,0.0,TOCRevenue(Pub)
27/03/2025,London B of Bexley  -  LEVI C Fund 24-25 100%,3801000.0,0.0,Cap Grt Loc Auth
24/03/2025,Levelling Up Fund Payment 16 for Round 2 Schemes,3778291.27,0.0,Cap Grt Loc Auth
07/03/2025,RIS 2 Schemes,3726061.21,0.0,TA Cost AUC - Programme
24/03/2025,Operate Roads PFI Service Payments,3649286.43,0.0,PFI Service Payments
12/03/2025,MRN/LLM  Capital Grants 2024/25,3583348.0,0.0,Cap Grt Loc Auth
25/03/2025,Cumberland C 100%-  LEVI C Fund 24-25,3465000.0,0.0,Cap Grt Loc Auth
11/03/2025,#,3364659.83,0.0,Software Licence Exp
